# StainedGlass Shader Profiler
# ShaderMode: Dynamic
# BoidCount: 100
# RecordingDuration_s: 30
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-05-07 14:41:13
Frame,PhaseTime_s,GPU_ms,RenderThread_ms,BoidCount,ShaderMode
31,0.0104,2.438,0.000,100,Dynamic
32,0.0141,2.419,0.000,100,Dynamic
33,0.0174,2.650,0.000,100,Dynamic
34,0.0206,2.969,0.000,100,Dynamic
35,0.0234,2.868,0.000,100,Dynamic
36,0.0389,2.850,0.000,100,Dynamic
37,0.0422,2.872,0.000,100,Dynamic
38,0.0453,2.862,0.000,100,Dynamic
39,0.0485,2.481,0.000,100,Dynamic
40,0.0517,2.622,0.000,100,Dynamic
41,0.0549,1.947,0.000,100,Dynamic
42,0.0578,1.840,0.000,100,Dynamic
43,0.0606,1.802,0.000,100,Dynamic
44,0.0637,1.784,0.000,100,Dynamic
45,0.0671,1.753,0.000,100,Dynamic
46,0.0702,1.779,0.000,100,Dynamic
47,0.0730,1.766,0.000,100,Dynamic
48,0.0761,1.749,0.000,100,Dynamic
49,0.0792,1.742,0.000,100,Dynamic
50,0.0821,1.657,0.000,100,Dynamic
51,0.0849,1.687,0.000,100,Dynamic
52,0.0882,1.681,0.000,100,Dynamic
53,0.0912,1.663,0.000,100,Dynamic
54,0.0941,1.676,0.000,100,Dynamic
55,0.0974,1.665,0.000,100,Dynamic
56,0.1003,1.658,0.000,100,Dynamic
57,0.1033,1.893,0.000,100,Dynamic
58,0.1062,1.744,0.000,100,Dynamic
59,0.1094,1.721,0.000,100,Dynamic
60,0.1132,1.725,0.000,100,Dynamic
61,0.1164,1.706,0.000,100,Dynamic
62,0.1203,1.721,0.000,100,Dynamic
63,0.1237,1.723,0.000,100,Dynamic
64,0.1267,1.714,0.000,100,Dynamic
65,0.1323,1.763,0.000,100,Dynamic
66,0.1352,1.741,0.000,100,Dynamic
67,0.1380,1.871,0.000,100,Dynamic
68,0.1407,1.520,0.000,100,Dynamic
69,0.1434,1.962,0.000,100,Dynamic
70,0.1464,1.958,0.000,100,Dynamic
71,0.1495,1.925,0.000,100,Dynamic
72,0.1523,1.963,0.000,100,Dynamic
73,0.1550,1.941,0.000,100,Dynamic
74,0.1577,1.920,0.000,100,Dynamic
75,0.1605,1.961,0.000,100,Dynamic
76,0.1632,1.954,0.000,100,Dynamic
77,0.1659,1.966,0.000,100,Dynamic
78,0.1694,2.064,0.000,100,Dynamic
79,0.1723,2.061,0.000,100,Dynamic
80,0.1750,2.050,0.000,100,Dynamic
81,0.1776,2.290,0.000,100,Dynamic
82,0.1804,2.280,0.000,100,Dynamic
83,0.1830,2.323,0.000,100,Dynamic
84,0.1857,2.368,0.000,100,Dynamic
85,0.1887,2.352,0.000,100,Dynamic
86,0.1915,2.294,0.000,100,Dynamic
87,0.1942,2.211,0.000,100,Dynamic
88,0.1970,2.150,0.000,100,Dynamic
89,0.1996,1.749,0.000,100,Dynamic
90,0.2023,1.823,0.000,100,Dynamic
91,0.2050,1.774,0.000,100,Dynamic
92,0.2080,1.735,0.000,100,Dynamic
93,0.2107,1.737,0.000,100,Dynamic
94,0.2135,1.712,0.000,100,Dynamic
95,0.2162,1.694,0.000,100,Dynamic
96,0.2189,1.700,0.000,100,Dynamic
97,0.2215,1.597,0.000,100,Dynamic
98,0.2243,1.591,0.000,100,Dynamic
99,0.2273,1.587,0.000,100,Dynamic
100,0.2300,1.583,0.000,100,Dynamic
101,0.2326,1.584,0.000,100,Dynamic
102,0.2354,1.611,0.000,100,Dynamic
103,0.2380,1.605,0.000,100,Dynamic
104,0.2407,1.596,0.000,100,Dynamic
105,0.2434,1.594,0.000,100,Dynamic
106,0.2463,1.586,0.000,100,Dynamic
107,0.2492,1.556,0.000,100,Dynamic
108,0.2520,1.562,0.000,100,Dynamic
109,0.2548,1.566,0.000,100,Dynamic
110,0.2576,1.556,0.000,100,Dynamic
111,0.2606,1.558,0.000,100,Dynamic
112,0.2634,1.560,0.000,100,Dynamic
113,0.2661,1.545,0.000,100,Dynamic
114,0.2693,1.645,0.000,100,Dynamic
115,0.2721,1.625,0.000,100,Dynamic
116,0.2747,1.617,0.000,100,Dynamic
117,0.2773,1.620,0.000,100,Dynamic
118,0.2827,1.611,0.000,100,Dynamic
119,0.2854,1.612,0.000,100,Dynamic
120,0.2885,1.642,0.000,100,Dynamic
121,0.2913,0.423,0.000,100,Dynamic
122,0.2941,1.895,0.000,100,Dynamic
123,0.2969,1.837,0.000,100,Dynamic
124,0.2995,1.788,0.000,100,Dynamic
125,0.3022,1.828,0.000,100,Dynamic
126,0.3051,1.807,0.000,100,Dynamic
127,0.3081,1.797,0.000,100,Dynamic
128,0.3108,1.814,0.000,100,Dynamic
129,0.3135,1.723,0.000,100,Dynamic
130,0.3162,1.747,0.000,100,Dynamic
131,0.3189,1.869,0.000,100,Dynamic
132,0.3216,1.887,0.000,100,Dynamic
133,0.3243,1.870,0.000,100,Dynamic
134,0.3274,1.885,0.000,100,Dynamic
135,0.3302,1.892,0.000,100,Dynamic
136,0.3330,1.901,0.000,100,Dynamic
137,0.3358,2.474,0.000,100,Dynamic
138,0.3386,2.205,0.000,100,Dynamic
139,0.3413,2.156,0.000,100,Dynamic
140,0.3439,2.180,0.000,100,Dynamic
141,0.3466,2.196,0.000,100,Dynamic
142,0.3497,2.215,0.000,100,Dynamic
143,0.3525,2.243,0.000,100,Dynamic
144,0.3552,2.245,0.000,100,Dynamic
145,0.3579,2.167,0.000,100,Dynamic
146,0.3606,2.048,0.000,100,Dynamic
147,0.3633,2.005,0.000,100,Dynamic
148,0.3659,1.967,0.000,100,Dynamic
149,0.3693,1.995,0.000,100,Dynamic
150,0.3722,1.984,0.000,100,Dynamic
151,0.3750,1.955,0.000,100,Dynamic
152,0.3777,1.952,0.000,100,Dynamic
153,0.3804,1.942,0.000,100,Dynamic
154,0.3832,1.889,0.000,100,Dynamic
155,0.3858,1.960,0.000,100,Dynamic
156,0.3888,1.952,0.000,100,Dynamic
157,0.3915,1.923,0.000,100,Dynamic
158,0.3944,1.925,0.000,100,Dynamic
159,0.3971,1.927,0.000,100,Dynamic
160,0.3998,1.913,0.000,100,Dynamic
161,0.4025,2.103,0.000,100,Dynamic
162,0.4053,2.016,0.000,100,Dynamic
163,0.4083,1.949,0.000,100,Dynamic
164,0.4110,1.946,0.000,100,Dynamic
165,0.4137,1.940,0.000,100,Dynamic
166,0.4165,1.952,0.000,100,Dynamic
167,0.4193,1.973,0.000,100,Dynamic
168,0.4219,1.968,0.000,100,Dynamic
169,0.4245,2.073,0.000,100,Dynamic
170,0.4277,2.004,0.000,100,Dynamic
171,0.4328,1.983,0.000,100,Dynamic
172,0.4355,1.999,0.000,100,Dynamic
173,0.4384,2.048,0.000,100,Dynamic
174,0.4411,1.795,0.000,100,Dynamic
175,0.4441,2.161,0.000,100,Dynamic
176,0.4473,2.133,0.000,100,Dynamic
177,0.4504,2.031,0.000,100,Dynamic
178,0.4535,2.323,0.000,100,Dynamic
179,0.4563,2.206,0.000,100,Dynamic
180,0.4592,2.195,0.000,100,Dynamic
181,0.4623,2.216,0.000,100,Dynamic
182,0.4651,2.192,0.000,100,Dynamic
183,0.4685,2.207,0.000,100,Dynamic
184,0.4716,2.229,0.000,100,Dynamic
185,0.4745,2.276,0.000,100,Dynamic
