# StainedGlass Shader Profiler
# ShaderMode: Hybrid
# BoidCount: 1000
# RecordingDuration_s: 30
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-05-07 14:49:14
Frame,PhaseTime_s,GPU_ms,RenderThread_ms,BoidCount,ShaderMode
31,0.0879,3.808,0.000,1000,Hybrid
32,0.1725,4.420,0.000,1000,Hybrid
33,0.2509,1.132,0.000,1000,Hybrid
34,0.3313,3.574,0.000,1000,Hybrid
35,0.4093,2.418,0.000,1000,Hybrid
36,0.4893,4.100,0.000,1000,Hybrid
37,0.5668,3.505,0.000,1000,Hybrid
38,0.6465,4.280,0.000,1000,Hybrid
39,0.7240,3.831,0.000,1000,Hybrid
40,0.8009,4.183,0.000,1000,Hybrid
41,0.8767,1.132,0.000,1000,Hybrid
42,0.9534,4.239,0.000,1000,Hybrid
43,1.0274,3.208,0.000,1000,Hybrid
44,1.1040,4.428,0.000,1000,Hybrid
45,1.1781,3.770,0.000,1000,Hybrid
46,1.2544,4.144,0.000,1000,Hybrid
47,1.3282,3.688,0.000,1000,Hybrid
48,1.4045,3.975,0.000,1000,Hybrid
49,1.4787,0.760,0.000,1000,Hybrid
50,1.5544,3.377,0.000,1000,Hybrid
51,1.6279,2.491,0.000,1000,Hybrid
52,1.7016,3.364,0.000,1000,Hybrid
53,1.7775,2.850,0.000,1000,Hybrid
54,1.8510,3.365,0.000,1000,Hybrid
55,1.9244,3.456,0.000,1000,Hybrid
56,2.0003,3.166,0.000,1000,Hybrid
57,2.0743,7.941,0.000,1000,Hybrid
58,2.1483,5.425,0.000,1000,Hybrid
59,2.2240,3.994,0.000,1000,Hybrid
60,2.2973,4.477,0.000,1000,Hybrid
61,2.3693,4.308,0.000,1000,Hybrid
62,2.4442,3.779,0.000,1000,Hybrid
63,2.5173,4.367,0.000,1000,Hybrid
64,2.5898,4.317,0.000,1000,Hybrid
65,2.6649,1.133,0.000,1000,Hybrid
66,2.7374,3.727,0.000,1000,Hybrid
67,2.8101,3.397,0.000,1000,Hybrid
68,2.8856,2.832,0.000,1000,Hybrid
69,2.9598,3.878,0.000,1000,Hybrid
70,3.0330,3.889,0.000,1000,Hybrid
71,3.1082,3.496,0.000,1000,Hybrid
72,3.1816,3.812,0.000,1000,Hybrid
73,3.2547,2.854,0.000,1000,Hybrid
74,3.3301,1.842,0.000,1000,Hybrid
75,3.4036,3.447,0.000,1000,Hybrid
76,3.4773,3.305,0.000,1000,Hybrid
77,3.5533,2.871,0.000,1000,Hybrid
78,3.6269,3.721,0.000,1000,Hybrid
79,3.7003,3.749,0.000,1000,Hybrid
80,3.7767,3.422,0.000,1000,Hybrid
81,3.8507,7.430,0.000,1000,Hybrid
82,3.9272,5.006,0.000,1000,Hybrid
83,4.0015,3.614,0.000,1000,Hybrid
84,4.0781,4.278,0.000,1000,Hybrid
85,4.1521,3.589,0.000,1000,Hybrid
86,4.2280,4.303,0.000,1000,Hybrid
87,4.3025,3.850,0.000,1000,Hybrid
88,4.3790,4.366,0.000,1000,Hybrid
89,4.4532,1.130,0.000,1000,Hybrid
90,4.5296,4.503,0.000,1000,Hybrid
91,4.6040,3.352,0.000,1000,Hybrid
92,4.6804,3.975,0.000,1000,Hybrid
93,4.7552,3.351,0.000,1000,Hybrid
94,4.8322,3.762,0.000,1000,Hybrid
95,4.9072,3.386,0.000,1000,Hybrid
96,4.9842,3.947,0.000,1000,Hybrid
97,5.0597,1.135,0.000,1000,Hybrid
98,5.1365,4.352,0.000,1000,Hybrid
99,5.2112,3.282,0.000,1000,Hybrid
100,5.2884,3.988,0.000,1000,Hybrid
101,5.3634,3.418,0.000,1000,Hybrid
102,5.4407,4.150,0.000,1000,Hybrid
103,5.5157,3.719,0.000,1000,Hybrid
104,5.5932,4.238,0.000,1000,Hybrid
105,5.6680,1.132,0.000,1000,Hybrid
106,5.7451,4.256,0.000,1000,Hybrid
107,5.8201,3.116,0.000,1000,Hybrid
108,5.8970,3.790,0.000,1000,Hybrid
109,5.9718,3.192,0.000,1000,Hybrid
110,6.0485,3.969,0.000,1000,Hybrid
111,6.1229,3.564,0.000,1000,Hybrid
112,6.2000,4.103,0.000,1000,Hybrid
113,6.2748,1.132,0.000,1000,Hybrid
114,6.3515,4.560,0.000,1000,Hybrid
115,6.4266,3.418,0.000,1000,Hybrid
116,6.5035,4.025,0.000,1000,Hybrid
117,6.5782,3.448,0.000,1000,Hybrid
118,6.6554,3.895,0.000,1000,Hybrid
119,6.7303,3.491,0.000,1000,Hybrid
120,6.8077,3.783,0.000,1000,Hybrid
121,6.8835,1.135,0.000,1000,Hybrid
122,6.9622,4.479,0.000,1000,Hybrid
123,7.0413,3.366,0.000,1000,Hybrid
124,7.1229,4.261,0.000,1000,Hybrid
125,7.2024,3.571,0.000,1000,Hybrid
126,7.2852,4.206,0.000,1000,Hybrid
127,7.3660,3.767,0.000,1000,Hybrid
128,7.4474,4.277,0.000,1000,Hybrid
129,7.5270,1.134,0.000,1000,Hybrid
130,7.6095,3.496,0.000,1000,Hybrid
131,7.6903,2.708,0.000,1000,Hybrid
132,7.7738,4.001,0.000,1000,Hybrid
133,7.8558,3.428,0.000,1000,Hybrid
134,7.9413,4.137,0.000,1000,Hybrid
135,8.0249,3.708,0.000,1000,Hybrid
136,8.1122,4.226,0.000,1000,Hybrid
137,8.1978,1.138,0.000,1000,Hybrid
138,8.2864,4.122,0.000,1000,Hybrid
139,8.3733,3.033,0.000,1000,Hybrid
140,8.4657,3.734,0.000,1000,Hybrid
