# StainedGlass Shader Profiler
# ShaderMode: Static
# BoidCount: 500
# RecordingDuration_s: 30
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-05-07 14:52:22
Frame,PhaseTime_s,GPU_ms,RenderThread_ms,BoidCount,ShaderMode
31,0.0286,6.355,0.000,500,Static
32,0.0525,1.124,0.000,500,Static
33,0.0756,6.938,0.000,500,Static
34,0.0992,6.809,0.000,500,Static
35,0.1224,6.484,0.000,500,Static
36,0.1489,6.674,0.000,500,Static
37,0.1720,6.616,0.000,500,Static
38,0.1956,6.542,0.000,500,Static
39,0.2191,5.867,0.000,500,Static
40,0.2421,12.506,0.000,500,Static
41,0.2652,6.303,0.000,500,Static
42,0.2882,8.146,0.000,500,Static
43,0.3137,7.619,0.000,500,Static
44,0.3371,7.283,0.000,500,Static
45,0.3603,7.167,0.000,500,Static
46,0.3837,6.305,0.000,500,Static
47,0.4069,7.245,0.000,500,Static
48,0.4299,5.777,0.000,500,Static
49,0.4528,5.767,0.000,500,Static
50,0.4790,5.890,0.000,500,Static
51,0.5028,5.918,0.000,500,Static
52,0.5263,5.932,0.000,500,Static
53,0.5498,5.132,0.000,500,Static
54,0.5732,6.100,0.000,500,Static
55,0.5988,6.104,0.000,500,Static
56,0.6244,5.918,0.000,500,Static
57,0.6525,4.988,0.000,500,Static
58,0.6781,5.126,0.000,500,Static
59,0.7019,5.184,0.000,500,Static
60,0.7254,4.373,0.000,500,Static
61,0.7489,5.497,0.000,500,Static
62,0.7722,5.512,0.000,500,Static
63,0.7960,5.541,0.000,500,Static
64,0.8219,5.537,0.000,500,Static
65,0.8452,5.523,0.000,500,Static
66,0.8686,5.558,0.000,500,Static
67,0.8920,4.376,0.000,500,Static
68,0.9152,5.704,0.000,500,Static
69,0.9388,5.706,0.000,500,Static
70,0.9621,5.709,0.000,500,Static
71,0.9880,5.725,0.000,500,Static
72,1.0112,5.748,0.000,500,Static
73,1.0346,5.832,0.000,500,Static
74,1.0582,4.266,0.000,500,Static
75,1.0817,6.073,0.000,500,Static
76,1.1049,6.021,0.000,500,Static
77,1.1287,5.914,0.000,500,Static
78,1.1546,5.833,0.000,500,Static
79,1.1781,5.736,0.000,500,Static
80,1.2015,5.013,0.000,500,Static
81,1.2249,2.925,0.000,500,Static
82,1.2482,5.541,0.000,500,Static
83,1.2718,5.561,0.000,500,Static
84,1.2963,5.623,0.000,500,Static
85,1.3224,5.551,0.000,500,Static
86,1.3486,5.504,0.000,500,Static
87,1.3725,5.461,0.000,500,Static
88,1.3988,1.141,0.000,500,Static
89,1.4237,6.008,0.000,500,Static
90,1.4504,5.717,0.000,500,Static
91,1.4864,5.615,0.000,500,Static
92,1.5095,6.278,0.000,500,Static
93,1.5329,6.268,0.000,500,Static
94,1.5563,5.395,0.000,500,Static
95,1.5794,6.461,0.000,500,Static
96,1.6026,5.418,0.000,500,Static
97,1.6281,4.930,0.000,500,Static
98,1.6515,4.891,0.000,500,Static
99,1.6752,4.902,0.000,500,Static
100,1.6990,4.148,0.000,500,Static
101,1.7225,5.239,0.000,500,Static
102,1.7460,5.214,0.000,500,Static
103,1.7694,5.228,0.000,500,Static
104,1.7952,4.896,0.000,500,Static
105,1.8205,4.799,0.000,500,Static
106,1.8551,4.757,0.000,500,Static
107,1.8783,3.850,0.000,500,Static
108,1.9013,5.163,0.000,500,Static
109,1.9243,4.319,0.000,500,Static
110,1.9496,5.703,0.000,500,Static
111,1.9726,5.557,0.000,500,Static
112,1.9956,5.142,0.000,500,Static
113,2.0187,3.308,0.000,500,Static
114,2.0415,5.419,0.000,500,Static
115,2.0640,5.208,0.000,500,Static
116,2.0864,5.147,0.000,500,Static
117,2.1111,5.098,0.000,500,Static
118,2.1335,5.104,0.000,500,Static
119,2.1560,5.102,0.000,500,Static
120,2.1783,1.135,0.000,500,Static
121,2.2007,5.691,0.000,500,Static
122,2.2229,5.503,0.000,500,Static
123,2.2453,5.365,0.000,500,Static
124,2.2699,5.288,0.000,500,Static
125,2.2921,5.211,0.000,500,Static
126,2.3145,5.190,0.000,500,Static
127,2.3370,4.645,0.000,500,Static
128,2.3594,9.924,0.000,500,Static
129,2.3816,7.491,0.000,500,Static
130,2.4040,6.607,0.000,500,Static
131,2.4285,6.494,0.000,500,Static
132,2.4508,6.163,0.000,500,Static
133,2.4729,5.934,0.000,500,Static
134,2.4950,5.249,0.000,500,Static
135,2.5175,5.810,0.000,500,Static
136,2.5396,4.678,0.000,500,Static
137,2.5616,4.603,0.000,500,Static
138,2.5861,4.619,0.000,500,Static
139,2.6081,4.542,0.000,500,Static
140,2.6302,4.525,0.000,500,Static
141,2.6524,3.911,0.000,500,Static
142,2.6745,4.796,0.000,500,Static
143,2.6969,4.735,0.000,500,Static
144,2.7191,4.373,0.000,500,Static
145,2.7433,4.343,0.000,500,Static
146,2.7655,4.416,0.000,500,Static
147,2.7875,4.430,0.000,500,Static
148,2.8094,3.770,0.000,500,Static
149,2.8316,4.646,0.000,500,Static
150,2.8535,4.652,0.000,500,Static
151,2.8755,4.655,0.000,500,Static
152,2.9003,4.595,0.000,500,Static
153,2.9224,4.422,0.000,500,Static
154,2.9446,4.431,0.000,500,Static
155,2.9667,3.536,0.000,500,Static
156,2.9886,4.564,0.000,500,Static
157,3.0104,4.568,0.000,500,Static
158,3.0324,4.569,0.000,500,Static
159,3.0569,4.556,0.000,500,Static
160,3.0788,4.441,0.000,500,Static
161,3.1008,4.434,0.000,500,Static
162,3.1227,3.385,0.000,500,Static
163,3.1448,4.799,0.000,500,Static
164,3.1668,4.983,0.000,500,Static
165,3.1888,5.178,0.000,500,Static
166,3.2131,5.113,0.000,500,Static
167,3.2351,5.028,0.000,500,Static
168,3.2573,4.586,0.000,500,Static
169,3.2792,2.862,0.000,500,Static
170,3.3010,4.952,0.000,500,Static
171,3.3230,4.822,0.000,500,Static
172,3.3450,4.705,0.000,500,Static
173,3.3693,4.590,0.000,500,Static
174,3.3914,4.557,0.000,500,Static
175,3.4136,4.484,0.000,500,Static
176,3.4355,1.130,0.000,500,Static
177,3.4576,4.879,0.000,500,Static
178,3.4793,4.639,0.000,500,Static
179,3.5013,4.840,0.000,500,Static
180,3.5255,4.767,0.000,500,Static
181,3.5475,4.645,0.000,500,Static
182,3.5691,4.600,0.000,500,Static
183,3.5907,4.167,0.000,500,Static
184,3.6123,8.581,0.000,500,Static
185,3.6339,6.437,0.000,500,Static
186,3.6554,5.740,0.000,500,Static
187,3.6797,5.309,0.000,500,Static
188,3.7013,5.041,0.000,500,Static
189,3.7229,4.932,0.000,500,Static
190,3.7444,4.390,0.000,500,Static
191,3.7661,4.871,0.000,500,Static
192,3.7876,4.359,0.000,500,Static
193,3.8091,4.192,0.000,500,Static
194,3.8329,4.120,0.000,500,Static
195,3.8545,4.095,0.000,500,Static
196,3.8763,4.126,0.000,500,Static
197,3.8981,3.683,0.000,500,Static
