# StainedGlass Shader Profiler
# Shader filter: StainedGlassMat2
# Recorded: 4/20/2026 4:09:50 PM
Frame,GPU_ms,RenderThread_ms,IsolationActive
30,1.524,0.000,0
31,1.524,0.000,0
32,1.538,0.000,0
33,1.588,0.000,0
34,1.507,0.000,0
35,1.512,0.000,0
36,1.646,0.000,0
37,1.675,0.000,0
38,1.696,0.000,0
39,1.706,0.000,0
40,1.707,0.000,0
41,1.691,0.000,0
42,2.521,0.000,0
43,2.145,0.000,0
44,2.021,0.000,0
45,1.952,0.000,0
46,1.623,0.000,0
47,1.937,0.000,0
48,2.016,0.000,0
49,2.043,0.000,0
50,1.776,0.000,0
51,1.752,0.000,0
52,1.761,0.000,0
53,1.808,0.000,0
54,1.965,0.000,0
55,2.006,0.000,0
56,2.039,0.000,0
57,2.006,0.000,0
58,2.882,0.000,0
59,2.574,0.000,0
60,2.474,0.000,0
61,2.413,0.000,0
62,2.386,0.000,0
63,2.515,0.000,0
64,2.681,0.000,0
65,2.858,0.000,0
66,3.470,0.000,0
67,3.470,0.000,0
68,3.243,0.000,0
69,2.999,0.000,0
70,2.789,0.000,0
71,2.611,0.000,0
72,2.495,0.000,0
73,2.406,0.000,0
74,1.741,0.000,0
75,1.612,0.000,0
76,1.716,0.000,0
77,1.718,0.000,0
78,1.724,0.000,0
79,1.734,0.000,0
80,1.701,0.000,0
81,1.671,0.000,0
82,1.759,0.000,0
83,1.752,0.000,0
84,1.743,0.000,0
85,1.737,0.000,0
86,1.691,0.000,0
87,1.662,0.000,0
88,1.637,0.000,0
89,1.678,0.000,0
90,1.751,0.000,0
91,1.741,0.000,0
92,1.663,0.000,0
93,1.622,0.000,0
94,1.593,0.000,0
95,1.637,0.000,0
96,1.655,0.000,0
97,1.674,0.000,0
98,1.502,0.000,0
99,1.519,0.000,0
100,1.510,0.000,0
101,1.584,0.000,0
102,1.616,0.000,0
103,1.640,0.000,0
104,1.642,0.000,0
105,1.624,0.000,0
106,1.507,0.000,0
107,1.554,0.000,0
108,1.686,0.000,0
109,1.705,0.000,0
110,1.717,0.000,0
111,1.717,0.000,0
112,1.686,0.000,0
113,1.666,0.000,0
114,1.762,0.000,0
115,1.766,0.000,0
116,1.763,0.000,0
117,1.763,0.000,0
118,1.767,0.000,0
119,1.728,0.000,0
120,1.697,0.000,0
121,1.733,0.000,0
122,1.772,0.000,0
123,1.769,0.000,0
124,1.755,0.000,0
125,1.755,0.000,0
126,1.720,0.000,0
127,1.695,0.000,0
128,1.734,0.000,0
129,1.744,0.000,0
130,1.787,0.000,0
131,1.775,0.000,0
132,1.772,0.000,0
133,1.771,0.000,0
134,1.834,0.000,0
135,1.886,0.000,0
136,1.865,0.000,0
137,1.854,0.000,0
138,1.800,0.000,0
139,1.786,0.000,0
140,1.771,0.000,0
141,1.892,0.000,0
142,2.014,0.000,0
143,1.971,0.000,0
144,1.938,0.000,0
145,1.912,0.000,0
146,1.768,0.000,0
147,1.801,0.000,0
148,2.042,0.000,0
149,2.113,0.000,0
150,2.093,0.000,0
