# StainedGlass Shader Profiler
# Shader filter: DynamicShader
# Recorded: 4/25/2026 1:49:08 PM
Frame,GPU_ms,RenderThread_ms,IsolationActive
30,0.814,0.000,0
31,0.815,0.000,0
32,0.812,0.000,0
33,0.787,0.000,0
34,0.805,0.000,0
35,0.587,0.000,0
36,0.654,0.000,0
37,0.682,0.000,0
38,0.705,0.000,0
39,0.715,0.000,0
40,0.728,0.000,0
41,0.795,0.000,0
42,0.804,0.000,0
43,0.807,0.000,0
44,0.811,0.000,0
45,0.806,0.000,0
46,0.805,0.000,0
47,0.803,0.000,0
48,0.702,0.000,0
49,0.800,0.000,0
50,0.812,0.000,0
51,0.815,0.000,0
52,0.817,0.000,0
53,0.813,0.000,0
54,0.687,0.000,0
55,0.703,0.000,0
56,0.714,0.000,0
57,0.790,0.000,0
58,0.779,0.000,0
59,0.782,0.000,0
60,0.778,0.000,0
61,0.780,0.000,0
62,0.783,0.000,0
63,9501.819,0.000,0
64,8314.191,0.000,0
65,0.784,0.000,0
66,0.752,0.000,0
67,0.502,0.000,0
68,0.575,0.000,0
73,66685.483,0.000,0
74,33343.144,0.000,0
75,22229.020,0.000,0
76,16671.966,0.000,0
77,13337.583,0.000,0 
78,11114.784,0.000,0
79,9527.068,0.000,0
80,8336.284,0.000,0
81,0.809,0.000,0
82,0.816,0.000,0
83,0.807,0.000,0
84,0.805,0.000,0
85,6026.800,0.000,0
86,5022.465,0.000,0
87,4305.080,0.000,0
88,3767.046,0.000,0
89,0.057,0.000,0
90,0.438,0.000,0
91,0.333,0.000,0
92,0.450,0.000,0
93,0.516,0.000,0
94,0.562,0.000,0
95,0.597,0.000,0
96,0.622,0.000,0
97,0.813,0.000,0
98,0.810,0.000,0
99,0.803,0.000,0
100,0.802,0.000,0
101,0.805,0.000,0
102,0.803,0.000,0
103,0.802,0.000,0
104,0.800,0.000,0
105,0.810,0.000,0
106,0.791,0.000,0
107,0.802,0.000,0
108,0.800,0.000,0
109,0.803,0.000,0
110,0.800,0.000,0
111,0.800,0.000,0
112,0.798,0.000,0
113,0.784,0.000,0
114,0.392,0.000,0
115,0.526,0.000,0
116,0.597,0.000,0
117,0.642,0.000,0
118,0.665,0.000,0
119,0.689,0.000,0
120,0.703,0.000,0
121,0.805,0.000,0
122,0.799,0.000,0
123,0.802,0.000,0
124,0.631,0.000,0
125,0.666,0.000,0
126,0.691,0.000,0
127,0.704,0.000,0
128,0.714,0.000,0
129,0.794,0.000,0
130,0.781,0.000,0
131,0.786,0.000,0
132,0.786,0.000,0
133,0.788,0.000,0
134,0.790,0.000,0
135,0.788,0.000,0
136,0.788,0.000,0
137,0.785,0.000,0
138,0.779,0.000,0
139,0.782,0.000,0
140,0.783,0.000,0
141,0.783,0.000,0
142,0.784,0.000,0
143,0.780,0.000,0
144,0.780,0.000,0
145,0.780,0.000,0
146,0.771,0.000,0
147,0.774,0.000,0
148,0.777,0.000,0
149,0.778,0.000,0
150,0.780,0.000,0
151,0.780,0.000,0
152,0.778,0.000,0
153,0.784,0.000,0
154,0.780,0.000,0
155,0.784,0.000,0
156,0.785,0.000,0
157,0.784,0.000,0
158,0.784,0.000,0
159,0.781,0.000,0
160,0.781,0.000,0
161,0.780,0.000,0
162,0.770,0.000,0
163,0.774,0.000,0
164,0.777,0.000,0
165,0.779,0.000,0
166,0.779,0.000,0
167,0.779,0.000,0
168,0.778,0.000,0
169,0.783,0.000,0
170,0.778,0.000,0
171,0.783,0.000,0
172,0.783,0.000,0
173,0.650,0.000,0
174,0.672,0.000,0
175,0.686,0.000,0
176,0.696,0.000,0
177,0.763,0.000,0
178,0.774,0.000,0
179,0.776,0.000,0
180,15.693,0.000,0
181,12.554,0.000,0
182,11.428,0.000,0
183,9.900,0.000,0
184,10.084,0.000,0
185,0.767,0.000,0
186,0.770,0.000,0
187,0.768,0.000,0
188,0.775,0.000,0
189,0.775,0.000,0
190,0.776,0.000,0
191,0.778,0.000,0
192,0.778,0.000,0
193,0.761,0.000,0
194,0.446,0.000,0
195,0.563,0.000,0
196,0.625,0.000,0
197,0.658,0.000,0
198,0.680,0.000,0
199,0.696,0.000,0
200,1.489,0.000,0
201,0.794,0.000,0
202,16607.357,0.000,0
203,11071.839,0.000,0
204,8310.547,0.000,0
205,6648.599,0.000,0
206,5540.629,0.000,0
207,4749.230,0.000,0
208,4155.674,0.000,0
209,0.810,0.000,0
210,0.802,0.000,0
211,0.811,0.000,0
212,0.802,0.000,0
213,0.798,0.000,0
214,0.686,0.000,0
215,0.703,0.000,0
216,0.714,0.000,0
217,0.750,0.000,0
218,0.764,0.000,0
219,0.766,0.000,0
220,0.774,0.000,0
221,0.776,0.000,0
222,0.778,0.000,0
223,0.781,0.000,0
225,0.776,0.000,0
226,1.224,0.000,0
227,1.092,0.000,0
233,0.797,0.000,0
234,0.458,0.000,0
235,0.562,0.000,0
236,0.627,0.000,0
237,0.655,0.000,0
238,0.682,0.000,0
241,51073.693,0.000,0
242,25537.251,0.000,0
249,0.778,0.000,0
250,0.788,0.000,0
251,0.781,0.000,0
252,0.792,0.000,0
253,0.790,0.000,0
254,0.791,0.000,0
255,0.698,0.000,0
256,0.712,0.000,0
257,0.790,0.000,0
258,0.793,0.000,0
259,0.792,0.000,0
260,0.792,0.000,0
261,0.797,0.000,0
262,0.794,0.000,0
263,0.791,0.000,0
264,0.789,0.000,0
265,0.768,0.000,0
266,0.775,0.000,0
267,0.788,0.000,0
268,0.783,0.000,0
269,0.781,0.000,0
270,0.784,0.000,0
271,0.782,0.000,0
272,0.783,0.000,0
274,0.394,0.000,0
275,0.531,0.000,0
276,0.603,0.000,0
277,0.642,0.000,0
278,0.668,0.000,0
279,0.685,0.000,0
280,0.694,0.000,0
281,0.758,0.000,0
282,0.783,0.000,0
283,0.782,0.000,0
284,0.783,0.000,0
285,0.782,0.000,0
286,0.785,0.000,0
287,0.781,0.000,0
288,0.780,0.000,0
289,0.119,0.000,0
290,0.445,0.000,0
291,0.559,0.000,0
292,0.610,0.000,0
293,0.644,0.000,0
294,0.669,0.000,0
295,0.682,0.000,0
296,0.690,0.000,0
297,0.778,0.000,0
298,0.770,0.000,0
299,0.776,0.000,0
300,0.773,0.000,0
301,0.776,0.000,0
302,0.775,0.000,0
303,0.775,0.000,0
304,0.773,0.000,0
305,0.778,0.000,0
306,0.776,0.000,0
307,0.781,0.000,0
308,0.774,0.000,0
309,0.775,0.000,0
310,0.775,0.000,0
311,0.773,0.000,0
312,0.771,0.000,0
313,0.778,0.000,0
314,0.771,0.000,0
315,0.774,0.000,0
316,0.770,0.000,0
317,0.772,0.000,0
318,0.772,0.000,0
319,0.773,0.000,0
320,0.770,0.000,0
321,0.778,0.000,0
322,0.775,0.000,0
323,0.778,0.000,0
324,0.772,0.000,0
325,0.774,0.000,0
326,0.776,0.000,0
327,0.774,0.000,0
328,0.771,0.000,0
329,0.785,0.000,0
330,0.771,0.000,0
331,0.773,0.000,0
332,0.769,0.000,0
333,0.639,0.000,0
334,0.663,0.000,0
335,0.675,0.000,0
336,0.687,0.000,0
337,0.770,0.000,0
338,0.775,0.000,0
339,0.767,0.000,0
340,0.772,0.000,0
341,0.772,0.000,0
342,0.788,0.000,0
343,0.676,0.000,0
344,0.706,0.000,0
345,1.035,0.000,0
346,0.973,0.000,0
347,1.130,0.000,0
348,1.208,0.000,0
349,1.186,0.000,0
350,1.172,0.000,0
351,1.157,0.000,0
352,1.148,0.000,0
353,0.184,0.000,0
354,0.623,0.000,0
355,0.783,0.000,0
356,0.860,0.000,0
357,0.903,0.000,0
358,0.926,0.000,0
359,0.948,0.000,0
360,0.963,0.000,0
361,1.105,0.000,0
362,1.321,0.000,0
363,1.249,0.000,0
364,1.446,0.000,0
365,1.460,0.000,0
366,1.898,0.000,0
367,1.850,0.000,0
