# StainedGlass Shader Profiler
# Configuration: Hybrid
# BoidCount: 500
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-04-27 15:50:04
Frame,GPU_ms,RenderThread_ms,BoidCount,Configuration,IsolationActive
30,2.703,0.000,500,Hybrid,0
31,2.648,0.000,500,Hybrid,0
32,2.726,0.000,500,Hybrid,0
33,2.922,0.000,500,Hybrid,0
34,2.479,0.000,500,Hybrid,0
35,2.608,0.000,500,Hybrid,0
36,2.604,0.000,500,Hybrid,0
37,2.721,0.000,500,Hybrid,0
38,2.638,0.000,500,Hybrid,0
39,2.865,0.000,500,Hybrid,0
40,2.813,0.000,500,Hybrid,0
41,3.210,0.000,500,Hybrid,0
42,3.146,0.000,500,Hybrid,0
43,3.254,0.000,500,Hybrid,0
44,3.677,0.000,500,Hybrid,0
45,3.577,0.000,500,Hybrid,0
46,3.477,0.000,500,Hybrid,0
47,3.382,0.000,500,Hybrid,0
48,3.340,0.000,500,Hybrid,0
49,4.646,0.000,500,Hybrid,0
50,4.549,0.000,500,Hybrid,0
51,4.496,0.000,500,Hybrid,0
52,4.044,0.000,500,Hybrid,0
53,3.936,0.000,500,Hybrid,0
54,4.109,0.000,500,Hybrid,0
55,4.142,0.000,500,Hybrid,0
56,4.150,0.000,500,Hybrid,0
57,4.131,0.000,500,Hybrid,0
58,4.800,0.000,500,Hybrid,0
59,4.780,0.000,500,Hybrid,0
60,4.724,0.000,500,Hybrid,0
61,4.691,0.000,500,Hybrid,0
62,4.609,0.000,500,Hybrid,0
63,4.768,0.000,500,Hybrid,0
64,4.708,0.000,500,Hybrid,0
65,4.742,0.000,500,Hybrid,0
66,4.672,0.000,500,Hybrid,0
67,4.553,0.000,500,Hybrid,0
68,4.732,0.000,500,Hybrid,0
69,4.644,0.000,500,Hybrid,0
70,4.505,0.000,500,Hybrid,0
71,4.479,0.000,500,Hybrid,0
72,4.369,0.000,500,Hybrid,0
73,4.660,0.000,500,Hybrid,0
74,4.298,0.000,500,Hybrid,0
75,4.174,0.000,500,Hybrid,0
76,4.172,0.000,500,Hybrid,0
77,4.220,0.000,500,Hybrid,0
78,4.359,0.000,500,Hybrid,0
79,4.223,0.000,500,Hybrid,0
80,4.217,0.000,500,Hybrid,0
81,3.910,0.000,500,Hybrid,0
82,5.209,0.000,500,Hybrid,0
