# StainedGlass Shader Profiler
# Configuration: Static
# BoidCount: 500
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-04-27 15:51:47
Frame,GPU_ms,RenderThread_ms,BoidCount,Configuration,IsolationActive
30,2.080,0.000,500,Static,0
31,2.059,0.000,500,Static,0
32,2.111,0.000,500,Static,0
33,2.231,0.000,500,Static,0
34,2.230,0.000,500,Static,0
35,2.134,0.000,500,Static,0
36,2.258,0.000,500,Static,0
37,2.260,0.000,500,Static,0
38,2.259,0.000,500,Static,0
39,2.259,0.000,500,Static,0
40,2.258,0.000,500,Static,0
41,3.223,0.000,500,Static,0
42,3.016,0.000,500,Static,0
43,2.764,0.000,500,Static,0
44,2.633,0.000,500,Static,0
45,2.558,0.000,500,Static,0
46,2.250,0.000,500,Static,0
47,2.796,0.000,500,Static,0
48,2.780,0.000,500,Static,0
49,2.265,0.000,500,Static,0
50,2.276,0.000,500,Static,0
51,2.444,0.000,500,Static,0
52,2.574,0.000,500,Static,0
53,2.650,0.000,500,Static,0
54,2.724,0.000,500,Static,0
55,2.661,0.000,500,Static,0
56,2.714,0.000,500,Static,0
57,2.921,0.000,500,Static,0
58,2.933,0.000,500,Static,0
59,2.931,0.000,500,Static,0
60,2.931,0.000,500,Static,0
61,2.991,0.000,500,Static,0
62,3.037,0.000,500,Static,0
63,3.051,0.000,500,Static,0
64,3.058,0.000,500,Static,0
65,2.868,0.000,500,Static,0
66,2.593,0.000,500,Static,0
67,2.555,0.000,500,Static,0
68,2.421,0.000,500,Static,0
69,2.320,0.000,500,Static,0
70,2.264,0.000,500,Static,0
71,2.218,0.000,500,Static,0
72,2.184,0.000,500,Static,0
73,2.013,0.000,500,Static,0
74,1.979,0.000,500,Static,0
75,1.968,0.000,500,Static,0
76,1.956,0.000,500,Static,0
77,1.953,0.000,500,Static,0
78,1.994,0.000,500,Static,0
79,1.982,0.000,500,Static,0
80,1.977,0.000,500,Static,0
81,1.950,0.000,500,Static,0
82,1.845,0.000,500,Static,0
83,1.806,0.000,500,Static,0
84,1.885,0.000,500,Static,0
85,1.896,0.000,500,Static,0
86,1.875,0.000,500,Static,0
87,1.854,0.000,500,Static,0
88,1.839,0.000,500,Static,0
89,1.848,0.000,500,Static,0
90,1.935,0.000,500,Static,0
91,1.894,0.000,500,Static,0
92,1.851,0.000,500,Static,0
93,1.826,0.000,500,Static,0
94,1.811,0.000,500,Static,0
95,1.864,0.000,500,Static,0
96,1.862,0.000,500,Static,0
97,1.733,0.000,500,Static,0
98,1.731,0.000,500,Static,0
99,1.732,0.000,500,Static,0
100,1.731,0.000,500,Static,0
101,1.808,0.000,500,Static,0
102,1.805,0.000,500,Static,0
103,1.794,0.000,500,Static,0
104,1.785,0.000,500,Static,0
105,1.708,0.000,500,Static,0
106,1.906,0.000,500,Static,0
107,1.846,0.000,500,Static,0
108,1.817,0.000,500,Static,0
109,1.858,0.000,500,Static,0
110,1.874,0.000,500,Static,0
111,1.884,0.000,500,Static,0
112,1.881,0.000,500,Static,0
113,1.721,0.000,500,Static,0
114,1.770,0.000,500,Static,0
115,1.844,0.000,500,Static,0
116,1.870,0.000,500,Static,0
117,1.885,0.000,500,Static,0
118,1.895,0.000,500,Static,0
119,1.894,0.000,500,Static,0
120,1.909,0.000,500,Static,0
121,2.133,0.000,500,Static,0
122,2.026,0.000,500,Static,0
123,1.998,0.000,500,Static,0
124,1.983,0.000,500,Static,0
125,1.976,0.000,500,Static,0
126,2.015,0.000,500,Static,0
127,2.073,0.000,500,Static,0
128,2.058,0.000,500,Static,0
129,1.931,0.000,500,Static,0
130,1.943,0.000,500,Static,0
131,1.944,0.000,500,Static,0
132,2.086,0.000,500,Static,0
133,2.124,0.000,500,Static,0
134,2.149,0.000,500,Static,0
