# StainedGlass Shader Profiler
# Configuration: Dynamic
# BoidCount: 500
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-04-27 15:58:47
Frame,GPU_ms,RenderThread_ms,BoidCount,Configuration,IsolationActive
30,2.144,0.000,500,Dynamic,0
31,2.111,0.000,500,Dynamic,0
32,2.160,0.000,500,Dynamic,0
33,2.276,0.000,500,Dynamic,0
34,2.271,0.000,500,Dynamic,0
35,2.174,0.000,500,Dynamic,0
36,2.214,0.000,500,Dynamic,0
37,1.944,0.000,500,Dynamic,0
38,2.386,0.000,500,Dynamic,0
39,2.373,0.000,500,Dynamic,0
40,2.362,0.000,500,Dynamic,0
41,3.213,0.000,500,Dynamic,0
42,2.937,0.000,500,Dynamic,0
43,2.723,0.000,500,Dynamic,0
44,2.614,0.000,500,Dynamic,0
45,2.550,0.000,500,Dynamic,0
46,2.664,0.000,500,Dynamic,0
47,2.706,0.000,500,Dynamic,0
48,2.678,0.000,500,Dynamic,0
49,2.301,0.000,500,Dynamic,0
50,2.381,0.000,500,Dynamic,0
51,2.689,0.000,500,Dynamic,0
52,2.765,0.000,500,Dynamic,0
53,2.803,0.000,500,Dynamic,0
54,2.784,0.000,500,Dynamic,0
55,2.722,0.000,500,Dynamic,0
56,2.789,0.000,500,Dynamic,0
57,3.286,0.000,500,Dynamic,0
58,3.231,0.000,500,Dynamic,0
59,3.281,0.000,500,Dynamic,0
60,3.308,0.000,500,Dynamic,0
61,3.216,0.000,500,Dynamic,0
62,3.104,0.000,500,Dynamic,0
63,2.989,0.000,500,Dynamic,0
64,2.904,0.000,500,Dynamic,0
65,2.305,0.000,500,Dynamic,0
66,2.305,0.000,500,Dynamic,0
67,2.369,0.000,500,Dynamic,0
68,2.351,0.000,500,Dynamic,0
69,2.340,0.000,500,Dynamic,0
70,2.333,0.000,500,Dynamic,0
71,2.329,0.000,500,Dynamic,0
72,2.285,0.000,500,Dynamic,0
73,2.508,0.000,500,Dynamic,0
74,2.406,0.000,500,Dynamic,0
75,2.373,0.000,500,Dynamic,0
76,2.356,0.000,500,Dynamic,0
77,2.277,0.000,500,Dynamic,0
78,2.309,0.000,500,Dynamic,0
79,2.305,0.000,500,Dynamic,0
80,2.301,0.000,500,Dynamic,0
81,2.296,0.000,500,Dynamic,0
82,2.211,0.000,500,Dynamic,0
83,2.169,0.000,500,Dynamic,0
84,2.255,0.000,500,Dynamic,0
85,2.266,0.000,500,Dynamic,0
86,2.271,0.000,500,Dynamic,0
87,2.269,0.000,500,Dynamic,0
88,2.229,0.000,500,Dynamic,0
89,2.508,0.000,500,Dynamic,0
90,2.406,0.000,500,Dynamic,0
91,2.372,0.000,500,Dynamic,0
92,2.352,0.000,500,Dynamic,0
93,2.337,0.000,500,Dynamic,0
94,2.279,0.000,500,Dynamic,0
95,2.296,0.000,500,Dynamic,0
96,2.296,0.000,500,Dynamic,0
97,2.294,0.000,500,Dynamic,0
98,2.248,0.000,500,Dynamic,0
99,2.157,0.000,500,Dynamic,0
100,2.241,0.000,500,Dynamic,0
101,2.252,0.000,500,Dynamic,0
102,2.259,0.000,500,Dynamic,0
103,2.265,0.000,500,Dynamic,0
104,2.269,0.000,500,Dynamic,0
105,2.110,0.000,500,Dynamic,0
106,2.323,0.000,500,Dynamic,0
107,2.319,0.000,500,Dynamic,0
108,2.319,0.000,500,Dynamic,0
109,2.318,0.000,500,Dynamic,0
110,2.315,0.000,500,Dynamic,0
111,2.338,0.000,500,Dynamic,0
112,2.361,0.000,500,Dynamic,0
113,2.300,0.000,500,Dynamic,0
114,2.300,0.000,500,Dynamic,0
115,2.303,0.000,500,Dynamic,0
116,2.305,0.000,500,Dynamic,0
117,2.454,0.000,500,Dynamic,0
118,2.493,0.000,500,Dynamic,0
119,2.460,0.000,500,Dynamic,0
120,2.441,0.000,500,Dynamic,0
121,2.303,0.000,500,Dynamic,0
122,2.307,0.000,500,Dynamic,0
123,2.483,0.000,500,Dynamic,0
124,2.612,0.000,500,Dynamic,0
125,2.572,0.000,500,Dynamic,0
126,2.526,0.000,500,Dynamic,0
127,2.494,0.000,500,Dynamic,0
128,2.470,0.000,500,Dynamic,0
129,2.802,0.000,500,Dynamic,0
130,2.933,0.000,500,Dynamic,0
131,2.774,0.000,500,Dynamic,0
