# StainedGlass Shader Profiler
# ShaderMode: Static
# BoidCount: 1000
# RecordingDuration_s: 30
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-05-13 12:21:05
Frame,PhaseTime_s,GPU_ms,RenderThread_ms,BoidCount,ShaderMode
31,0.0183,2.326,0.000,1000,Static
32,0.0235,2.361,0.000,1000,Static
33,0.0277,2.991,0.000,1000,Static
34,0.0315,2.660,0.000,1000,Static
35,0.0354,2.573,0.000,1000,Static
36,0.0397,2.869,0.000,1000,Static
37,0.0442,2.994,0.000,1000,Static
38,0.0481,3.105,0.000,1000,Static
39,0.0523,3.116,0.000,1000,Static
40,0.0566,3.481,0.000,1000,Static
41,0.0615,3.887,0.000,1000,Static
42,0.0657,4.023,0.000,1000,Static
43,0.0700,3.915,0.000,1000,Static
44,0.0742,4.647,0.000,1000,Static
45,0.0783,4.788,0.000,1000,Static
46,0.0827,4.904,0.000,1000,Static
47,0.0866,4.771,0.000,1000,Static
48,0.0907,5.036,0.000,1000,Static
49,0.0953,10.542,0.000,1000,Static
50,0.1001,8.400,0.000,1000,Static
51,0.1048,7.266,0.000,1000,Static
52,0.1088,6.090,0.000,1000,Static
53,0.1126,5.295,0.000,1000,Static
54,0.1163,4.753,0.000,1000,Static
55,0.1203,4.375,0.000,1000,Static
56,0.1247,4.078,0.000,1000,Static
57,0.1287,2.096,0.000,1000,Static
58,0.1323,2.071,0.000,1000,Static
59,0.1357,2.044,0.000,1000,Static
60,0.1391,2.199,0.000,1000,Static
61,0.1435,2.179,0.000,1000,Static
62,0.1472,2.179,0.000,1000,Static
63,0.1508,2.199,0.000,1000,Static
64,0.1542,2.285,0.000,1000,Static
65,0.1574,2.346,0.000,1000,Static
66,0.1609,2.494,0.000,1000,Static
67,0.1775,2.380,0.000,1000,Static
68,0.1819,2.337,0.000,1000,Static
69,0.1860,2.500,0.000,1000,Static
70,0.1896,2.516,0.000,1000,Static
71,0.1933,2.650,0.000,1000,Static
72,0.1967,2.614,0.000,1000,Static
