# StainedGlass Shader Profiler
# ShaderMode: Static
# BoidCount: 1000
# RecordingDuration_s: 30
# GPU: NVIDIA GeForce RTX 3080
# CPU: AMD Ryzen 7 7700X 8-Core Processor 
# RAM_MB: 31895
# UnityVersion: 6000.3.8f1
# Recorded: 2026-05-13 23:11:12
Frame,PhaseTime_s,GPU_ms,RenderThread_ms,BoidCount,ShaderMode
31,0.0172,2.642,0.000,1000,Static
32,0.0259,2.621,0.000,1000,Static
33,0.0321,2.187,0.000,1000,Static
34,0.0379,2.787,0.000,1000,Static
35,0.0454,1.858,0.000,1000,Static
36,0.0567,1.461,0.000,1000,Static
37,0.0657,1.545,0.000,1000,Static
38,0.0723,1.320,0.000,1000,Static
39,0.0783,1.131,0.000,1000,Static
40,0.0838,1.040,0.000,1000,Static
41,0.0894,0.190,0.000,1000,Static
42,0.0950,1.047,0.000,1000,Static
43,0.1010,1.304,0.000,1000,Static
44,0.1067,1.728,0.000,1000,Static
45,0.1120,1.747,0.000,1000,Static
46,0.1176,1.753,0.000,1000,Static
47,0.1235,1.934,0.000,1000,Static
48,0.1288,1.920,0.000,1000,Static
49,0.1345,1.754,0.000,1000,Static
50,0.1407,2.304,0.000,1000,Static
51,0.1467,2.137,0.000,1000,Static
52,0.1525,2.062,0.000,1000,Static
53,0.1586,2.225,0.000,1000,Static
54,0.1646,2.151,0.000,1000,Static
55,0.1708,2.100,0.000,1000,Static
56,0.1768,2.077,0.000,1000,Static
57,0.1827,1.897,0.000,1000,Static
58,0.1892,1.858,0.000,1000,Static
59,0.1951,1.867,0.000,1000,Static
60,0.2010,1.870,0.000,1000,Static
61,0.2068,1.909,0.000,1000,Static
62,0.2150,1.894,0.000,1000,Static
63,0.2225,1.623,0.000,1000,Static
64,0.2284,1.784,0.000,1000,Static
65,0.2345,1.750,0.000,1000,Static
66,0.2402,2.627,0.000,1000,Static
67,0.2459,2.105,0.000,1000,Static
68,0.2519,1.839,0.000,1000,Static
69,0.2575,1.679,0.000,1000,Static
70,0.2632,1.572,0.000,1000,Static
71,0.2690,1.500,0.000,1000,Static
72,0.2747,1.446,0.000,1000,Static
73,0.2803,1.064,0.000,1000,Static
74,0.2862,1.060,0.000,1000,Static
75,0.2917,1.063,0.000,1000,Static
76,0.2975,1.063,0.000,1000,Static
77,0.3039,1.062,0.000,1000,Static
78,0.3098,1.060,0.000,1000,Static
79,0.3160,1.064,0.000,1000,Static
80,0.3216,1.063,0.000,1000,Static
81,0.3277,1.040,0.000,1000,Static
82,0.3338,1.060,0.000,1000,Static
83,0.3404,1.380,0.000,1000,Static
84,0.3459,1.295,0.000,1000,Static
85,0.3520,1.254,0.000,1000,Static
86,0.3584,1.219,0.000,1000,Static
87,0.3640,1.199,0.000,1000,Static
88,0.3696,1.182,0.000,1000,Static
89,0.3757,1.109,0.000,1000,Static
90,0.3817,1.089,0.000,1000,Static
91,0.3873,1.104,0.000,1000,Static
92,0.3925,1.094,0.000,1000,Static
93,0.3983,1.087,0.000,1000,Static
94,0.4041,1.082,0.000,1000,Static
95,0.4130,1.082,0.000,1000,Static
96,0.4195,0.947,0.000,1000,Static
97,0.4247,1.079,0.000,1000,Static
98,0.4303,1.140,0.000,1000,Static
99,0.4358,1.475,0.000,1000,Static
100,0.4411,1.366,0.000,1000,Static
101,0.4458,1.303,0.000,1000,Static
102,0.4496,1.262,0.000,1000,Static
103,0.4535,1.231,0.000,1000,Static
104,0.4575,1.214,0.000,1000,Static
105,0.4606,1.038,0.000,1000,Static
106,0.4637,1.522,0.000,1000,Static
107,0.4669,1.351,0.000,1000,Static
108,0.4701,1.287,0.000,1000,Static
109,0.4760,1.236,0.000,1000,Static
110,0.4795,1.267,0.000,1000,Static
111,0.4829,1.086,0.000,1000,Static
112,0.4863,1.087,0.000,1000,Static
113,0.4891,0.999,0.000,1000,Static
114,0.4922,1.047,0.000,1000,Static
115,0.4948,1.364,0.000,1000,Static
116,0.4975,1.315,0.000,1000,Static
117,0.5010,1.258,0.000,1000,Static
118,0.5038,1.237,0.000,1000,Static
119,0.5067,1.208,0.000,1000,Static
120,0.5093,1.198,0.000,1000,Static
121,0.5118,1.052,0.000,1000,Static
122,0.5146,1.083,0.000,1000,Static
123,0.5174,1.068,0.000,1000,Static
124,0.5200,1.082,0.000,1000,Static
125,0.5228,1.073,0.000,1000,Static
126,0.5254,1.078,0.000,1000,Static
127,0.5279,1.077,0.000,1000,Static
128,0.5307,1.080,0.000,1000,Static
129,0.5333,1.065,0.000,1000,Static
130,0.5365,1.077,0.000,1000,Static
131,0.5394,1.077,0.000,1000,Static
132,0.5419,1.086,0.000,1000,Static
133,0.5444,1.085,0.000,1000,Static
134,0.5473,1.086,0.000,1000,Static
135,0.5499,1.097,0.000,1000,Static
136,0.5532,1.098,0.000,1000,Static
137,0.5563,1.104,0.000,1000,Static
138,0.5590,1.108,0.000,1000,Static
139,0.5618,1.356,0.000,1000,Static
140,0.5644,1.278,0.000,1000,Static
141,0.5669,1.248,0.000,1000,Static
142,0.5695,1.222,0.000,1000,Static
143,0.5725,1.200,0.000,1000,Static
144,0.5750,1.182,0.000,1000,Static
145,0.5778,1.117,0.000,1000,Static
146,0.5807,1.097,0.000,1000,Static
147,0.5833,1.089,0.000,1000,Static
148,0.5864,1.090,0.000,1000,Static
149,0.5892,1.096,0.000,1000,Static
150,0.5918,1.101,0.000,1000,Static
151,0.5948,1.097,0.000,1000,Static
152,0.5978,1.088,0.000,1000,Static
153,0.6003,1.132,0.000,1000,Static
154,0.6033,1.114,0.000,1000,Static
155,0.6058,1.107,0.000,1000,Static
156,0.6085,1.110,0.000,1000,Static
157,0.6114,1.116,0.000,1000,Static
158,0.6143,1.116,0.000,1000,Static
159,0.6170,1.107,0.000,1000,Static
160,0.6198,1.102,0.000,1000,Static
161,0.6224,1.115,0.000,1000,Static
162,0.6249,1.110,0.000,1000,Static
163,0.6276,1.357,0.000,1000,Static
164,0.6303,1.260,0.000,1000,Static
165,0.6328,1.207,0.000,1000,Static
166,0.6358,1.178,0.000,1000,Static
167,0.6383,1.151,0.000,1000,Static
168,0.6409,1.129,0.000,1000,Static
169,0.6438,1.074,0.000,1000,Static
170,0.6465,1.025,0.000,1000,Static
171,0.6490,1.016,0.000,1000,Static
172,0.6520,1.014,0.000,1000,Static
173,0.6546,1.012,0.000,1000,Static
174,0.6575,1.012,0.000,1000,Static
175,0.6603,1.147,0.000,1000,Static
176,0.6628,1.123,0.000,1000,Static
177,0.6654,0.985,0.000,1000,Static
178,0.6686,0.984,0.000,1000,Static
179,0.6718,0.977,0.000,1000,Static
180,0.6759,0.990,0.000,1000,Static
181,0.6787,1.180,0.000,1000,Static
182,0.6814,1.147,0.000,1000,Static
183,0.6843,1.130,0.000,1000,Static
184,0.6869,1.112,0.000,1000,Static
185,0.6899,1.004,0.000,1000,Static
186,0.6925,1.009,0.000,1000,Static
187,0.6950,1.008,0.000,1000,Static
188,0.6981,1.010,0.000,1000,Static
189,0.7007,1.004,0.000,1000,Static
190,0.7035,1.005,0.000,1000,Static
191,0.7063,1.004,0.000,1000,Static
192,0.7089,1.006,0.000,1000,Static
193,0.7115,1.014,0.000,1000,Static
194,0.7143,0.997,0.000,1000,Static
195,0.7171,0.988,0.000,1000,Static
196,0.7197,0.995,0.000,1000,Static
197,0.7226,0.990,0.000,1000,Static
198,0.7252,0.989,0.000,1000,Static
199,0.7277,0.999,0.000,1000,Static
200,0.7304,0.998,0.000,1000,Static
201,0.7331,1.027,0.000,1000,Static
202,0.7364,1.013,0.000,1000,Static
203,0.7392,1.009,0.000,1000,Static
204,0.7420,1.006,0.000,1000,Static
205,0.7446,0.998,0.000,1000,Static
206,0.7475,0.996,0.000,1000,Static
207,0.7510,0.997,0.000,1000,Static
